type,test_idx,train_idx,similarity
related,7,69,-0.001007
related,7,72,-0.039174
related,7,85,0.013628
related,7,87,0.331992
related,7,90,0.125501
related,7,114,0.114306
related,7,127,-0.004382
related,7,195,0.092182
related,7,207,0.093697
related,7,211,0.086723
related,7,217,0.046000
related,7,221,0.001744
related,7,227,0.032123
related,7,229,-0.012395
related,7,233,-0.020789
related,7,237,0.025094
related,7,240,0.067584
related,7,246,0.012435
related,7,249,0.072602
related,8,196,0.123989
related,8,200,0.027101
related,8,216,0.044960
related,8,225,0.015220
related,8,235,0.154615
related,9,51,0.001243
related,9,56,0.132342
related,9,66,0.046883
related,9,87,0.083557
related,9,90,0.110189
related,9,127,0.022277
related,9,197,0.128459
related,9,207,-0.031337
related,9,209,0.072686
related,9,211,0.078125
related,9,212,0.014048
related,9,227,0.011283
related,9,230,-0.068612
related,9,236,0.115252
related,9,246,0.027321
related,9,247,-0.013938
related,9,248,0.187423
related,10,8,0.171037
related,10,75,-0.007968
related,10,76,0.118933
related,10,106,0.105388
related,10,107,0.019817
related,10,225,-0.001835
related,10,234,-0.015648
related,11,4,0.030333
related,11,5,0.168914
related,11,8,0.209776
related,11,23,0.137450
related,11,25,0.076038
related,11,31,0.080634
related,11,36,0.147553
related,11,57,0.163835
related,11,79,0.239302
related,11,112,0.100003
related,11,181,0.137892
related,11,225,0.112986
related,11,235,0.154039
related,12,28,-0.040527
related,12,78,0.170445
related,12,110,0.100173
related,12,124,-0.027648
related,12,157,0.022630
related,12,179,0.103931
related,12,206,0.127924
related,13,83,0.208524
related,13,111,0.185736
related,14,150,0.138784
related,14,153,0.093919
related,15,5,0.167241
related,15,7,0.147712
related,15,8,0.156628
related,15,25,0.121241
related,15,31,0.130381
related,15,57,0.082417
related,15,181,0.415133
related,15,225,0.100738
related,16,77,0.096742
related,16,78,0.160765
related,16,84,0.426619
related,16,86,0.018231
related,16,109,0.164653
related,16,112,0.186124
related,16,113,0.307962
related,16,126,0.161693
related,16,129,0.117437
related,16,149,0.109672
related,17,51,0.101380
related,17,56,-0.028307
related,17,114,0.059885
related,17,209,0.201641
related,17,211,0.150568
related,17,212,0.160692
related,17,236,0.215504
related,17,247,-0.007411
related,17,248,0.004153
related,18,4,0.258327
related,18,6,0.184210
related,18,8,-0.046826
related,18,11,0.392403
related,18,27,0.165760
related,18,31,-0.041498
related,18,38,0.194348
related,18,46,0.156889
related,18,62,0.191987
related,18,75,0.207139
related,18,107,0.147651
related,18,108,0.114956
related,18,167,0.026007
related,18,180,0.365963
related,18,225,0.137364
related,18,226,0.128439
related,18,234,0.136588
related,19,5,0.127789
related,19,8,0.206973
related,19,25,0.122161
related,19,31,0.062397
related,19,57,0.135279
related,19,181,0.173470
related,19,225,0.168408
related,20,29,0.130617
related,20,40,0.074252
related,20,47,0.037097
related,20,76,0.169426
related,20,80,0.292274
related,20,90,-0.020544
related,20,110,0.081967
related,20,115,0.023081
related,20,116,-0.013604
related,20,125,0.038160
related,20,127,-0.009480
related,20,133,0.096616
related,20,141,0.142801
related,20,149,0.093662
related,20,157,0.328243
related,20,161,0.125876
related,20,166,0.117117
related,20,172,0.098045
related,20,179,-0.053883
related,20,191,0.124650
related,20,194,0.119612
related,20,206,0.030004
related,20,219,0.075299
related,20,228,0.136713
related,21,76,0.170433
related,21,80,0.001051
related,21,116,0.184754
related,21,131,0.130493
related,21,140,0.096426
related,21,141,0.071142
related,21,147,0.107343
related,21,152,0.102445
related,21,179,0.129358
related,21,184,0.163625
related,21,194,0.093645
related,21,228,0.006439
related,21,229,0.101122
related,22,19,-0.025201
related,22,67,-0.027099
related,22,76,0.167040
related,22,78,0.141879
related,22,80,0.110539
